[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /metrics                  --> github.com/zsais/go-gin-prometheus.prometheusHandler.func1 (2 handlers)
[GIN-debug] POST   /login                    --> main.main.func2 (6 handlers)
[GIN-debug] POST   /signup                   --> main.main.func3 (6 handlers)
[GIN-debug] GET    /user/is-auth             --> main.main.func4 (7 handlers)
[GIN-debug] POST   /user/logout              --> main.main.func5 (7 handlers)
[GIN-debug] POST   /user/add-item            --> main.main.func6 (7 handlers)
[GIN-debug] GET    /user/watchlist           --> main.main.func7 (7 handlers)
[GIN-debug] POST   /user/add-new-item        --> main.main.func8 (7 handlers)
[GIN-debug] GET    /item/get-items           --> main.main.func9 (6 handlers)
[GIN-debug] GET    /item/price               --> main.main.func10 (6 handlers)
[GIN-debug] Listening and serving HTTP on :8000
[GIN] 2020/05/25 - 20:57:59 | 200 |    212.0457ms |      172.19.0.1 | GET      /item/get-items?offset=0&limit=10000
[GIN] 2020/05/25 - 20:58:08 | 200 |    185.0443ms |      172.19.0.1 | GET      /item/get-items?offset=0&limit=10000
[GIN] 2020/05/25 - 20:58:11 | 200 |    166.8617ms |      172.19.0.1 | GET      /item/get-items?offset=0&limit=10000
[GIN] 2020/05/25 - 20:58:11 | 200 |    220.7437ms |      172.19.0.1 | GET      /item/get-items?offset=0&limit=10000
[GIN] 2020/05/25 - 20:58:17 | 200 |    170.8843ms |      172.19.0.1 | GET      /item/get-items?offset=0&limit=10000
[GIN] 2020/05/25 - 20:59:16 | 200 |    138.0541ms |      172.19.0.1 | GET      /item/get-items?offset=909&limit=40
[GIN] 2020/05/25 - 20:59:16 | 200 |    131.7775ms |      172.19.0.1 | GET      /item/get-items?offset=909&limit=40
[GIN] 2020/05/25 - 20:59:16 | 200 |    162.4433ms |      172.19.0.1 | GET      /item/get-items?offset=767&limit=40
[GIN] 2020/05/25 - 20:59:16 | 200 |     159.595ms |      172.19.0.1 | GET      /item/get-items?offset=909&limit=40
[GIN] 2020/05/25 - 20:59:16 | 200 |    165.3034ms |      172.19.0.1 | GET      /item/get-items?offset=909&limit=40
[GIN] 2020/05/25 - 20:59:16 | 200 |    168.5338ms |      172.19.0.1 | GET      /item/get-items?offset=909&limit=40
[GIN] 2020/05/25 - 20:59:16 | 200 |    183.6828ms |      172.19.0.1 | GET      /item/get-items?offset=767&limit=40
[GIN] 2020/05/25 - 20:59:16 | 200 |    195.3346ms |      172.19.0.1 | GET      /item/get-items?offset=909&limit=40
[GIN] 2020/05/25 - 20:59:16 | 200 |    259.8674ms |      172.19.0.1 | GET      /item/get-items?offset=1033&limit=40
[GIN] 2020/05/25 - 20:59:16 | 200 |    274.3501ms |      172.19.0.1 | GET      /item/get-items?offset=1033&limit=40
[GIN] 2020/05/25 - 20:59:16 | 200 |    273.0717ms |      172.19.0.1 | GET      /item/get-items?offset=1033&limit=40
[GIN] 2020/05/25 - 20:59:16 | 200 |    277.5223ms |      172.19.0.1 | GET      /item/get-items?offset=1033&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    301.8744ms |      172.19.0.1 | GET      /item/get-items?offset=1033&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    303.6673ms |      172.19.0.1 | GET      /item/get-items?offset=1033&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    324.1774ms |      172.19.0.1 | GET      /item/get-items?offset=1033&limit=40
